model_id,model_type,activation_function,optimizer,criterion,learning_rate,beta1,beta2,num_epochs,time_minutes,learning_rate_adam
174,MLP4,relu,Muon,MSELoss,0.0174,0.95,,500,0.28,0.0001
175,MLP4,relu,Muon,MSELoss,0.0175,0.95,,500,0.28,0.0001
176,MLP4,relu,Muon,MSELoss,0.0176,0.95,,500,0.28,0.0001
177,MLP4,relu,Muon,MSELoss,0.0177,0.95,,500,0.26,0.0001
178,MLP4,relu,Muon,MSELoss,0.0178,0.95,,500,0.29,0.0001
179,MLP4,relu,Muon,MSELoss,0.0179,0.95,,500,0.28,0.0001
180,MLP4,relu,Muon,MSELoss,0.018,0.95,,500,0.28,0.0001
181,MLP4,relu,Muon,MSELoss,0.0181,0.95,,500,0.29,0.0001
182,MLP4,relu,Muon,MSELoss,0.0182,0.95,,500,0.28,0.0001
183,MLP4,relu,Muon,MSELoss,0.0183,0.95,,500,0.26,0.0001
184,MLP4,relu,Muon,MSELoss,0.0184,0.95,,500,0.28,0.0001
185,MLP4,relu,Muon,MSELoss,0.0185,0.95,,500,0.28,0.0001
186,MLP4,relu,Muon,MSELoss,0.0186,0.95,,500,0.29,0.0001
187,MLP4,relu,Muon,MSELoss,0.0187,0.95,,500,0.28,0.0001
188,MLP4,relu,Muon,MSELoss,0.0188,0.95,,500,0.28,0.0001
189,MLP4,relu,Muon,MSELoss,0.0189,0.95,,500,0.28,0.0001
190,MLP4,relu,Muon,MSELoss,0.019,0.95,,500,0.27,0.0001
191,MLP4,relu,Muon,MSELoss,0.0191,0.95,,500,0.27,0.0001
192,MLP4,relu,Muon,MSELoss,0.0192,0.95,,500,0.28,0.0001
193,MLP4,relu,Muon,MSELoss,0.0193,0.95,,500,0.28,0.0001
194,MLP4,relu,Muon,MSELoss,0.0194,0.95,,500,0.29,0.0001
195,MLP4,relu,Muon,MSELoss,0.0195,0.95,,500,0.28,0.0001
196,MLP4,relu,Muon,MSELoss,0.0196,0.95,,500,0.27,0.0001
197,MLP4,relu,Muon,MSELoss,0.0197,0.95,,500,0.29,0.0001
198,MLP4,relu,Muon,MSELoss,0.0198,0.95,,500,0.28,0.0001
199,MLP4,relu,Muon,MSELoss,0.0199,0.95,,500,0.27,0.0001
200,MLP4,relu,Muon,MSELoss,0.02,0.95,,500,0.28,0.0001
201,MLP4,relu,Muon,MSELoss,0.0201,0.95,,500,0.28,0.0001
202,MLP4,relu,Muon,MSELoss,0.0202,0.95,,500,0.27,0.0001
203,MLP4,relu,Muon,MSELoss,0.0203,0.95,,500,0.27,0.0001
204,MLP4,relu,Muon,MSELoss,0.0204,0.95,,500,0.27,0.0001
205,MLP4,relu,Muon,MSELoss,0.0205,0.95,,500,0.29,0.0001
206,MLP4,relu,Muon,MSELoss,0.0206,0.95,,500,0.28,0.0001
207,MLP4,relu,Muon,MSELoss,0.0207,0.95,,500,0.27,0.0001
208,MLP4,relu,Muon,MSELoss,0.0208,0.95,,500,0.26,0.0001
209,MLP4,relu,Muon,MSELoss,0.0209,0.95,,500,0.29,0.0001
210,MLP4,relu,Muon,MSELoss,0.021,0.95,,500,0.27,0.0001
211,MLP4,relu,Muon,MSELoss,0.0211,0.95,,500,0.27,0.0001
212,MLP4,relu,Muon,MSELoss,0.0212,0.95,,500,0.29,0.0001
213,MLP4,relu,Muon,MSELoss,0.0213,0.95,,500,0.28,0.0001
214,MLP4,relu,Muon,MSELoss,0.0214,0.95,,500,0.28,0.0001
215,MLP4,relu,Muon,MSELoss,0.0215,0.95,,500,0.27,0.0001
216,MLP4,relu,Muon,MSELoss,0.0216,0.95,,500,0.28,0.0001
217,MLP4,relu,Muon,MSELoss,0.0217,0.95,,500,0.29,0.0001
218,MLP4,relu,Muon,MSELoss,0.0218,0.95,,500,0.29,0.0001
219,MLP4,relu,Muon,MSELoss,0.0219,0.95,,500,0.28,0.0001
220,MLP4,relu,Muon,MSELoss,0.022,0.95,,500,0.29,0.0001
